BRA ID MIR,HS ID HS4,Exports,Imports
1am0002,8901,102939.0,310506884.0
1am0002,8903,489.0,32736626.0
1am0002,9001,11545361.0,15152040.0
1am0002,9002,169721.0,8756322.0
1am0002,9004,341951.0,43824489.0
1am0002,9006,61653.0,5979216.0
1am0002,9011,340.0,770648.0
1am0002,9013,1138319.0,168144756.0
1am0002,9015,12500.0,84710.0
1am0002,9016,500.0,68472.0
1am0002,9017,55427.0,886655.0
1am0002,9018,6039231.0,20044811.0
1am0002,9019,1271949.0,25660855.0
1am0002,9022,1850.0,1999572.0
1am0002,9025,8546.0,2134552.0
1am0002,9026,126288.0,25917531.0
1am0002,9027,40481.0,16415168.0
1am0002,9028,1376256.0,776572.0
1am0002,9029,9903103.0,79989931.0
1am0002,9030,859483.0,80861937.0
1am0002,9031,731876.0,62201055.0
1am0002,9032,10725133.0,258643024.0
1am0002,9033,800.0,455861.0
1am0002,9102,1741682.0,24010364.0
1am0002,9106,5740.0,73516.0
1am0002,9107,21345.0,749.0
1am0002,9108,21008.0,34691965.0
1am0002,9110,3678.0,23381534.0
1am0002,9111,174593.0,208547141.0
1am0002,9113,66317.0,127819920.0
1am0002,9114,26149.0,73231227.0
1am0002,9207,22744.0,830751.0
1am0002,9401,21208.0,6496941.0
1am0002,9402,5086.0,337493.0
1am0002,9403,216783.0,12372826.0
1am0002,9404,4424.0,198999.0
1am0002,9405,0.0,2926994.0
1am0002,9503,304869.0,4430153.0
1am0002,9504,8743044.0,269422780.0
1am0002,9506,11025066.0,21906750.0
1am0002,9603,4821676.0,3231205.0
1am0002,9608,45307202.0,18315047.0
1am0002,9609,9552211.0,307904.0
1am0002,9612,18561768.0,35048031.0
1am0002,9613,33307472.0,28616281.0
1ap0100,1101,51938.0,216835.0
1ap0100,3305,135.0,6098.0
1ap0100,4009,29466.0,1722.0
1ap0100,4016,9917.0,931412.0
1ap0100,7108,184785109.0,16406.0
1ap0100,7117,84070.0,476593.0
1ap0100,7318,51234.0,6393.0
1ap0100,8301,225.0,100083.0
1ap0100,8408,374208.0,3604233.0
1ap0100,8409,838832.0,214889.0
1ap0100,8413,14512.0,43801.0
1ap0100,8414,110.0,1339767.0
1ap0100,8426,4140797.0,8095803.0
1ap0100,8431,859203.0,82530.0
