BRA ID MIR,HS ID HS4,Year,Exports,Imports
1am0002,3925,2012,16806.0,137593.0
1am0002,3925,2013,66259.0,190464.0
1am0002,3925,2014,181022.0,237470.0
1am0002,3926,2011,596257.0,30740154.0
1am0002,3926,2012,491211.0,25645510.0
1am0002,3926,2013,201240.0,25688905.0
1am0002,3926,2014,126715.0,26640111.0
1am0002,4002,2011,2.0,18015125.0
1am0002,4006,2013,0.0,568503.0
1am0002,4008,2012,2.0,215150.0
1am0002,4008,2013,3.0,176511.0
1am0002,4009,2011,563.0,52840350.0
1am0002,4009,2012,3681.0,42486707.0
1am0002,4009,2013,1648.0,31366890.0
1am0002,4009,2014,3450.0,24871109.0
1am0002,4010,2011,3584.0,1882838.0
1am0002,4010,2012,8077.0,1726985.0
1am0002,4010,2013,5782.0,2029967.0
1am0002,4010,2014,1098.0,2337260.0
1am0002,4011,2011,2029.0,36169398.0
1am0002,4011,2012,1131.0,40093326.0
1am0002,4011,2013,3675.0,39132350.0
1am0002,4011,2014,52940.0,33423256.0
1am0002,4013,2011,282.0,1469538.0
1am0002,4013,2013,252.0,1646611.0
1am0002,4013,2014,2191.0,1422042.0
1am0002,4016,2011,54694.0,39743067.0
1am0002,4016,2012,86720.0,39485485.0
1am0002,4016,2013,156038.0,37398037.0
1am0002,4016,2014,55171.0,36817769.0
1am0002,4017,2014,359.0,158414.0
1am0002,4202,2011,648.0,14628642.0
1am0002,4202,2012,430.0,15959863.0
1am0002,4202,2013,0.0,17399359.0
1am0002,4202,2014,31713.0,19076439.0
1am0002,4409,2011,215788.0,118.0
1am0002,4409,2012,1444944.0,54.0
1am0002,4409,2014,2087565.0,4025.0
1am0002,4411,2011,1734.0,760618.0
1am0002,4411,2012,1257.0,968959.0
1am0002,4412,2011,4776364.0,69139.0
1am0002,4415,2011,18101.0,9493.0
1am0002,4415,2012,23680.0,6909.0
1am0002,4415,2013,18280.0,14086.0
1am0002,4415,2014,6855.0,14410.0
1am0002,4418,2012,42026.0,74339.0
1am0002,4419,2013,9735.0,10208.0
1am0002,4420,2012,1368.0,431276.0
1am0002,4420,2013,5362.0,103688.0
1am0002,4420,2014,374.0,151616.0
1am0002,4504,2013,17.0,9312.0
1am0002,4602,2013,442.0,2687.0
1am0002,4707,2011,75038.0,1636.0
1am0002,4707,2012,22275.0,2138.0
1am0002,4802,2013,17946.0,2705610.0
1am0002,4808,2013,0.0,5225.0
1am0002,4808,2014,0.0,4791.0
1am0002,4811,2011,377109.0,9406814.0
1am0002,4811,2012,177468.0,9528918.0
1am0002,4811,2013,277528.0,8649510.0
1am0002,4811,2014,1626643.0,8343963.0
1am0002,4819,2011,8808.0,13791891.0
1am0002,4819,2012,15853.0,19191734.0
1am0002,4819,2013,2593.0,32192466.0
1am0002,4819,2014,41638.0,28576240.0
1am0002,4821,2011,6587.0,2438613.0
1am0002,4821,2012,3554.0,2081730.0
1am0002,4821,2013,4296.0,2444030.0
1am0002,4821,2014,25172.0,2718355.0
1am0002,4822,2011,11790.0,145645.0
1am0002,4822,2012,3500.0,146395.0
1am0002,4823,2011,50826.0,5112968.0
1am0002,4823,2012,117119.0,5342754.0
